Economy,ADB Country Code,Sector,Country 2018 GDP,Scenario,as % of total GDP,in $ Mn,Employment (in 000),as % of sector GDP,as % of sector employment
Pakistan,PAK,'Light/Heavy ManufacturingUtilitiesand Construction',314588.2105,'Additional impact under Shorter containmentsmaller demand shock',-0.31982.64 ,171,-1.85,-1.93
Pakistan,PAK,Transport services,314588.2105,'Additional impact under Shorter containmentsmaller demand shock',-0.20623.16 ,33,-2.08,-2.03
Pakistan,PAK,_All,314588.2105,'Additional impact under Shorter containmentsmaller demand shock',-1.97,' 6,193.83 ',1151,-1.97,-1.95
Fiji,FIJ,'AgricultureMining and Quarrying',5536.759659,'Additional impact under Shorter containmentsmaller demand shock',-0.1910.48 ,3,-1.68,-1.65
Fiji,FIJ,'BusinessTradePersonaland Public Services',5536.759659,'Additional impact under Shorter containmentsmaller demand shock',-0.9954.77 ,2,-1.77,-1.75
Fiji,FIJ,Hotel and restaurants and Other Personal Services,5536.759659,'Additional impact under Shorter containmentsmaller demand shock',-0.010.56 ,0,-0.14,-0.60
Fiji,FIJ,'Light/Heavy ManufacturingUtilitiesand Construction',5536.759659,'Additional impact under Shorter containmentsmaller demand shock',-0.2514.02 ,1,-1.48,-1.57
Fiji,FIJ,Transport services,5536.759659,'Additional impact under Shorter containmentsmaller demand shock',-0.042.45 ,0,-0.53,-0.63
Fiji,FIJ,_All,5536.759659,'Additional impact under Shorter containmentsmaller demand shock',-1.4982.28 ,5,-1.49,-1.61
Lao People's Democratic Republic,LAO,'AgricultureMining and Quarrying',17953.78642,'Additional impact under Shorter containmentsmaller demand shock',-0.2952.40 ,30,-1.18,-1.46
Lao People's Democratic Republic,LAO,'BusinessTradePersonaland Public Services',17953.78642,'Additional impact under Shorter containmentsmaller demand shock',-0.66118.50 ,17,-1.62,-1.60
Lao People's Democratic Republic,LAO,Hotel and restaurants and Other Personal Services,17953.78642,'Additional impact under Shorter containmentsmaller demand shock',-0.0915.66 ,2,-1.87,-1.87
Lao People's Democratic Republic,LAO,'Light/Heavy ManufacturingUtilitiesand Construction',17953.78642,'Additional impact under Shorter containmentsmaller demand shock',-0.2443.09 ,8,-0.85,-1.28
Lao People's Democratic Republic,LAO,Transport services,17953.78642,'Additional impact under Shorter containmentsmaller demand shock',-0.023.22 ,1,-1.16,-1.22
Lao People's Democratic Republic,LAO,_All,17953.78642,'Additional impact under Shorter containmentsmaller demand shock',-1.30232.87 ,59,-1.30,-1.47
Brunei Darussalam,BRU,'AgricultureMining and Quarrying',13567.35118,'Additional impact under Shorter containmentsmaller demand shock',-0.2534.05 ,1,-0.55,-1.40
Brunei Darussalam,BRU,'BusinessTradePersonaland Public Services',13567.35118,'Additional impact under Shorter containmentsmaller demand shock',-0.4965.85 ,1,-1.47,-1.41
Brunei Darussalam,BRU,Hotel and restaurants and Other Personal Services,13567.35118,'Additional impact under Shorter containmentsmaller demand shock',-0.023.18 ,0,-1.18,-1.19
Brunei Darussalam,BRU,'Light/Heavy ManufacturingUtilitiesand Construction',13567.35118,'Additional impact under Shorter containmentsmaller demand shock',-0.1114.45 ,0,-0.62,-1.25
Brunei Darussalam,BRU,Transport services,13567.35118,'Additional impact under Shorter containmentsmaller demand shock',-0.010.68 ,0,-0.30,-0.38
Brunei Darussalam,BRU,_All,13567.35118,'Additional impact under Shorter containmentsmaller demand shock',-0.87118.20 ,3,-0.87,-1.35
Bhutan,BHU,'AgricultureMining and Quarrying',2534.965163,'Additional impact under Shorter containmentsmaller demand shock',-0.379.27 ,5,-1.61,-1.73
Bhutan,BHU,'BusinessTradePersonaland Public Services',2534.965163,'Additional impact under Shorter containmentsmaller demand shock',-0.4812.08 ,2,-1.66,-1.60
Bhutan,BHU,Hotel and restaurants and Other Personal Services,2534.965163,'Additional impact under Shorter containmentsmaller demand shock',-0.020.42 ,0,-0.62,-0.99
Bhutan,BHU,'Light/Heavy ManufacturingUtilitiesand Construction',2534.965163,'Additional impact under Shorter containmentsmaller demand shock',-0.5313.53 ,1,-1.39,-1.59
Bhutan,BHU,Transport services,2534.965163,'Additional impact under Shorter containmentsmaller demand shock',-0.102.64 ,0,-1.38,-1.29
Bhutan,BHU,_All,2534.965163,'Additional impact under Shorter containmentsmaller demand shock',-1.5037.94 ,8,-1.50,-1.65
Kyrgyz Republic,KGZ,'AgricultureMining and Quarrying',8092.836609,'Additional impact under Shorter containmentsmaller demand shock',-0.2419.26 ,21,-1.47,-1.52
Kyrgyz Republic,KGZ,'BusinessTradePersonaland Public Services',8092.836609,'Additional impact under Shorter containmentsmaller demand shock',-0.8468.05 ,13,-1.74,-1.71
Kyrgyz Republic,KGZ,Hotel and restaurants and Other Personal Services,8092.836609,'Additional impact under Shorter containmentsmaller demand shock',-0.086.36 ,1,-2.01,-2.02
Kyrgyz Republic,KGZ,'Light/Heavy ManufacturingUtilitiesand Construction',8092.836609,'Additional impact under Shorter containmentsmaller demand shock',-0.3427.84 ,6,-1.28,-1.33
Kyrgyz Republic,KGZ,Transport services,8092.836609,'Additional impact under Shorter containmentsmaller demand shock',-0.064.97 ,1,-1.32,-1.32
Kyrgyz Republic,KGZ,_All,8092.836609,'Additional impact under Shorter containmentsmaller demand shock',-1.56126.47 ,42,-1.56,-1.55
Cambodia,CAM,'AgricultureMining and Quarrying',24542.47406,'Additional impact under Shorter containmentsmaller demand shock',-0.3789.84 ,75,-1.43,-1.42
Cambodia,CAM,'BusinessTradePersonaland Public Services',24542.47406,'Additional impact under Shorter containmentsmaller demand shock',-0.3790.95 ,40,-1.34,-1.42
Cambodia,CAM,Hotel and restaurants and Other Personal Services,24542.47406,'Additional impact under Shorter containmentsmaller demand shock',-0.0921.46 ,3,-1.08,-1.27
Cambodia,CAM,'Light/Heavy ManufacturingUtilitiesand Construction',24542.47406,'Additional impact under Shorter containmentsmaller demand shock',-0.3584.77 ,20,-1.05,-1.35
Cambodia,CAM,Transport services,24542.47406,'Additional impact under Shorter containmentsmaller demand shock',-0.0614.67 ,0,-1.03,-1.03
Cambodia,CAM,_All,24542.47406,'Additional impact under Shorter containmentsmaller demand shock',-1.23301.70 ,138,-1.23,-1.41
Maldives,MLD,'AgricultureMining and Quarrying',5327.45715,'Additional impact under Shorter containmentsmaller demand shock',-0.021.25 ,1,-0.93,-0.93
Maldives,MLD,'BusinessTradePersonaland Public Services',5327.45715,'Additional impact under Shorter containmentsmaller demand shock',-0.4725.06 ,1,-1.43,-1.41
Maldives,MLD,Hotel and restaurants and Other Personal Services,5327.45715,'Additional impact under Shorter containmentsmaller demand shock',-0.031.76 ,0,-0.15,-0.30
Maldives,MLD,'Light/Heavy ManufacturingUtilitiesand Construction',5327.45715,'Additional impact under Shorter containmentsmaller demand shock',-0.5931.55 ,0,-1.58,-1.50
Maldives,MLD,Transport services,5327.45715,'Additional impact under Shorter containmentsmaller demand shock',-0.031.58 ,0,-0.60,-0.57
Maldives,MLD,_All,5327.45715,'Additional impact under Shorter containmentsmaller demand shock',-1.1561.20 ,2,-1.15,-1.12
Nepal,NEP,'AgricultureMining and Quarrying',29040.39898,'Additional impact under Shorter containmentsmaller demand shock',-0.52152.45 ,165,-1.71,-1.71
Nepal,NEP,'BusinessTradePersonaland Public Services',29040.39898,'Additional impact under Shorter containmentsmaller demand shock',-0.78227.82 ,100,-1.82,-1.79
Nepal,NEP,Hotel and restaurants and Other Personal Services,29040.39898,'Additional impact under Shorter containmentsmaller demand shock',-0.0720.96 ,8,-1.53,-1.58
Nepal,NEP,'Light/Heavy ManufacturingUtilitiesand Construction',29040.39898,'Additional impact under Shorter containmentsmaller demand shock',-0.2573.65 ,51,-1.75,-1.73
Nepal,NEP,Transport services,29040.39898,'Additional impact under Shorter containmentsmaller demand shock',-0.1234.43 ,5,-1.72,-1.21
Nepal,NEP,_All,29040.39898,'Additional impact under Shorter containmentsmaller demand shock',-1.75509.30 ,329,-1.75,-1.72
Singapore,SIN,'AgricultureMining and Quarrying',364156.6578,'Additional impact under Shorter containmentsmaller demand shock',0.000.98 ,0,-1.08,-1.08
Singapore,SIN,'BusinessTradePersonaland Public Services',364156.6578,'Additional impact under Shorter containmentsmaller demand shock',-0.53,' 1,918.99 ',23,-0.85,-0.87
Singapore,SIN,Hotel and restaurants and Other Personal Services,364156.6578,'Additional impact under Shorter containmentsmaller demand shock',-0.10355.02 ,8,-1.96,-1.91
Singapore,SIN,'Light/Heavy ManufacturingUtilitiesand Construction',364156.6578,'Additional impact under Shorter containmentsmaller demand shock',-0.16565.35 ,5,-0.59,-0.70
Singapore,SIN,Transport services,364156.6578,'Additional impact under Shorter containmentsmaller demand shock',-0.03113.64 ,2,-0.45,-0.45
Singapore,SIN,_All,364156.6578,'Additional impact under Shorter containmentsmaller demand shock',-0.81,' 2,953.98 ',38,-0.81,-0.91
Hong KongChina,HKG,'AgricultureMining and Quarrying',362682.0182,'Additional impact under Shorter containmentsmaller demand shock',0.003.38 ,0,-1.37,-1.37
Hong KongChina,HKG,'BusinessTradePersonaland Public Services',362682.0182,'Additional impact under Shorter containmentsmaller demand shock',-0.84,' 3,050.34 ',28,-1.05,-1.16
Hong KongChina,HKG,Hotel and restaurants and Other Personal Services,362682.0182,'Additional impact under Shorter containmentsmaller demand shock',-0.11385.62 ,15,-1.52,-1.64
Hong KongChina,HKG,'Light/Heavy ManufacturingUtilitiesand Construction',362682.0182,'Additional impact under Shorter containmentsmaller demand shock',-0.12442.82 ,9,-1.62,-1.55
Hong KongChina,HKG,Transport services,362682.0182,'Additional impact under Shorter containmentsmaller demand shock',-0.03126.74 ,2,-0.62,-0.61
Hong KongChina,HKG,_All,362682.0182,'Additional impact under Shorter containmentsmaller demand shock',-1.11,' 4,008.90 ',54,-1.11,-1.28
Australia,AUS,'AgricultureMining and Quarrying',1433904.349,'Additional impact under Longer containmentlarger demand shock',nana ,na,na,na
Australia,AUS,'BusinessTradePersonaland Public Services',1433904.349,'Additional impact under Longer containmentlarger demand shock',nana ,na,na,na
Australia,AUS,Hotel and restaurants and Other Personal Services,1433904.349,'Additional impact under Longer containmentlarger demand shock',nana ,na,na,na
Australia,AUS,'Light/Heavy ManufacturingUtilitiesand Construction',1433904.349,'Additional impact under Longer containmentlarger demand shock',nana ,na,na,na
Australia,AUS,Transport services,1433904.349,'Additional impact under Longer containmentlarger demand shock',nana ,na,na,na
Australia,AUS,_All,1433904.349,'Additional impact under Longer containmentlarger demand shock',nana ,na,na,na
Austria,AUT,'AgricultureMining and Quarrying',455285.818,'Additional impact under Longer containmentlarger demand shock',nana ,na,na,na
Austria,AUT,'BusinessTradePersonaland Public Services',455285.818,'Additional impact under Longer containmentlarger demand shock',nana ,na,na,na
Austria,AUT,Hotel and restaurants and Other Personal Services,455285.818,'Additional impact under Longer containmentlarger demand shock',nana ,na,na,na
Austria,AUT,'Light/Heavy ManufacturingUtilitiesand Construction',455285.818,'Additional impact under Longer containmentlarger demand shock',nana ,na,na,na
Austria,AUT,Transport services,455285.818,'Additional impact under Longer containmentlarger demand shock',nana ,na,na,na
Austria,AUT,_All,455285.818,'Additional impact under Longer containmentlarger demand shock',nana ,na,na,na
Belgium,BEL,'AgricultureMining and Quarrying',542761.0921,'Additional impact under Longer containmentlarger demand shock',nana ,na,na,na
Belgium,BEL,'BusinessTradePersonaland Public Services',542761.0921,'Additional impact under Longer containmentlarger demand shock',nana ,na,na,na
Belgium,BEL,Hotel and restaurants and Other Personal Services,542761.0921,'Additional impact under Longer containmentlarger demand shock',nana ,na,na,na
Belgium,BEL,'Light/Heavy ManufacturingUtilitiesand Construction',542761.0921,'Additional impact under Longer containmentlarger demand shock',nana ,na,na,na
Belgium,BEL,Transport services,542761.0921,'Additional impact under Longer containmentlarger demand shock',nana ,na,na,na
Belgium,BEL,_All,542761.0921,'Additional impact under Longer containmentlarger demand shock',nana ,na,na,na
Bulgaria,BGR,'AgricultureMining and Quarrying',65132.95112,'Additional impact under Longer containmentlarger demand shock',nana ,na,na,na
Bulgaria,BGR,'BusinessTradePersonaland Public Services',65132.95112,'Additional impact under Longer containmentlarger demand shock',nana ,na,na,na
Bulgaria,BGR,Hotel and restaurants and Other Personal Services,65132.95112,'Additional impact under Longer containmentlarger demand shock',nana ,na,na,na
Bulgaria,BGR,'Light/Heavy ManufacturingUtilitiesand Construction',65132.95112,'Additional impact under Longer containmentlarger demand shock',nana ,na,na,na
Bulgaria,BGR,Transport services,65132.95112,'Additional impact under Longer containmentlarger demand shock',nana ,na,na,na
Bulgaria,BGR,_All,65132.95112,'Additional impact under Longer containmentlarger demand shock',nana ,na,na,na
Brazil,BRA,'AgricultureMining and Quarrying',1868626.088,'Additional impact under Longer containmentlarger demand shock',nana ,na,na,na
Brazil,BRA,'BusinessTradePersonaland Public Services',1868626.088,'Additional impact under Longer containmentlarger demand shock',nana ,na,na,na
Brazil,BRA,Hotel and restaurants and Other Personal Services,1868626.088,'Additional impact under Longer containmentlarger demand shock',nana ,na,na,na
Brazil,BRA,'Light/Heavy ManufacturingUtilitiesand Construction',1868626.088,'Additional impact under Longer containmentlarger demand shock',nana ,na,na,na
Brazil,BRA,Transport services,1868626.088,'Additional impact under Longer containmentlarger demand shock',nana ,na,na,na
Brazil,BRA,_All,1868626.088,'Additional impact under Longer containmentlarger demand shock',nana ,na,na,na
Canada,CAN,'AgricultureMining and Quarrying',1713341.705,'Additional impact under Longer containmentlarger demand shock',nana ,na,na,na
Canada,CAN,'BusinessTradePersonaland Public Services',1713341.705,'Additional impact under Longer containmentlarger demand shock',nana ,na,na,na
Canada,CAN,Hotel and restaurants and Other Personal Services,1713341.705,'Additional impact under Longer containmentlarger demand shock',nana ,na,na,na
Canada,CAN,'Light/Heavy ManufacturingUtilitiesand Construction',1713341.705,'Additional impact under Longer containmentlarger demand shock',nana ,na,na,na
Canada,CAN,Transport services,1713341.705,'Additional impact under Longer containmentlarger demand shock',nana ,na,na,na
Canada,CAN,_All,1713341.705,'Additional impact under Longer containmentlarger demand shock',nana ,na,na,na
